VARIABLES= "X", "Y", "P", "U", "V", "C"
0 1.3 0.0060236 0 0 7.00098e-140
0 1.28 0 0 0 7.51499e-138
0 1.26 0 0 0 6.20177e-135
0 1.24 0 0 0 1.60926e-132
0 1.22 0 0 0 1.30839e-129
0 1.2 0 0 0 4.0533e-126
0 1.18 0 0 0 4.0533e-126
0 1.16 0 0 0 9.90829e-121
0 1.14 0 0 0 8.17206e-122
0 1.12 0 0 0 8.92756e-120
0 1.1 0 0 0 2.60334e-120
0 1.08 0 0 0 3.11863e-115
0 1.06 0 0 0 3.11863e-115
0 1.04 0 0 0 1.00756e-107
0 1.02 0 0 0 5.53685e-106
0 1 0 0 0 2.63368e-102
0 0.98 0 0 0 2.63368e-102
0 0.96 0 0 0 8.68561e-100
0 0.94 0 0 0 3.57048e-098
0 0.92 0 0 0 2.06791e-098
0 0.9 0 0 0 2.71209e-096
0 0.88 0 0 0 4.21102e-093
0 0.86 0 0 0 1.52819e-090
0 0.84 0 0 0 8.48781e-089
0 0.82 0 0 0 8.48781e-089
0 0.8 0 0 0 3.99839e-085
0 0.78 0 1 0 1.15359e-085
0 0.76 0 1 0 1.15359e-085
0 0.74 0 1 0 4.53398e-088
0 0.72 0 1 0 4.62804e-087
0 0.7 0 1 0 2.0216e-088
0 0.68 0 1 0 2.0216e-088
0 0.66 0 1 0 3.07938e-087
0 0.64 0 1 0 4.99028e-090
0 0.62 0 1 0 1.1635e-091
0 0.6 0 1 0 5.76565e-095
0 0.58 0 1 0 1.05812e-096
0 0.56 0 1 0 2.64896e-098
0 0.54 0 1 0 1.09784e-095
0 0.52 0 0 0 1.50696e-094
0 0.5 0 0 0 1.50696e-094
0 0.48 0 0 0 1.23495e-095
0 0.46 0 0 0 1.85795e-097
0 0.44 0 0 0 7.24916e-102
0 0.42 0 0 0 7.24916e-102
0 0.4 0 0 0 5.22327e-106
0 0.38 0 0 0 1.34095e-104
0 0.36 0 0 0 2.14204e-106
0 0.34 0 0 0 2.14204e-106
0 0.32 0 0 0 8.17671e-109
0 0.3 0 0 0 1.40955e-108
0 0.28 0 0 0 7.26148e-111
0 0.26 0 0 0 7.26148e-111
0 0.24 0 0 0 1.52003e-113
0 0.22 0 0 0 1.32243e-116
0 0.2 0 0 0 4.13732e-118
0 0.18 0 0 0 3.20891e-122
0 0.16 0 0 0 7.07575e-122
0 0.14 0 0 0 6.31344e-122
0 0.12 0 0 0 3.84433e-127
0 0.1 0 0 0 2.01503e-127
0 0.08 0 0 0 1.08125e-129
0 0.06 0 0 0 6.89832e-133
0 0.04 0 0 0 2.01409e-135
0 0.02 0 0 0 2.77674e-138
0 0 0.00683277 0 0 1.93621e-140
0.02 0 0.008157 0 0 1.22163e-140
0.04 0 0.0141932 0 0 4.93384e-141
0.06 0 0.0179065 0 0 4.36543e-140
0.08 0 0.0208184 0 0 3.26747e-137
0.1 0 0.0262227 0 0 1.93803e-134
0.12 0 0.0262227 0 0 1.93803e-134
0.14 0 0.0314025 0 0 1.87244e-129
0.16 0 0.0328754 0 0 3.28628e-129
0.18 0 0.039926 0 0 2.76485e-122
0.2 0 0.0414147 0 0 4.90397e-122
0.22 0 0.0478455 0 0 1.83489e-116
0.24 0 0.0543438 0 0 3.10091e-113
0.26 0 0.0546153 0 0 9.54688e-113
0.28 0 0.056592 0 0 2.0802e-109
0.3 0 0.0573237 0 0 3.97986e-109
0.32 0 0.0609245 0 0 2.99423e-104
0.34 0 0.0615917 0 0 1.42728e-101
0.36 0 0.0619493 0 0 2.19063e-101
0.38 0 0.0646454 0 0 2.58184e-102
0.4 0 0.065382 0 0 1.51964e-100
0.42 0 0.0660637 0 0 2.41184e-101
0.44 0 0.0666435 0 0 1.87779e-102
0.46 0 0.0670941 0 0 2.61237e-101
0.48 0 0.0670941 0 0 2.61237e-101
0.5 0 0.0671431 0 0 1.3678e-096
0.52 0 0.0668149 0 0 3.62373e-097
0.54 0 0.0668149 0 0 3.62373e-097
0.56 0 0.0665507 0 0 1.62434e-098
0.58 0 0.0657486 0 0 1.20524e-093
0.6 0 0.0652572 0 0 2.91761e-093
0.62 0 0.0642846 0 0 1.54048e-094
0.64 0 0.0642846 0 0 1.54048e-094
0.66 0 0.0636889 0 0 6.24481e-097
0.68 0 0.0614304 0 0 2.64741e-094
0.7 0 0.0611678 0 0 2.74332e-094
0.72 0 0.0600723 0 0 2.65698e-092
0.74 0 0.0587876 0 0 5.34476e-093
0.76 0 0.0579079 0 0 4.32087e-092
0.78 0 0.0561861 0 0 3.74156e-091
0.8 0 0.0561861 0 0 3.74156e-091
0.82 0 0.0548789 0 0 3.97684e-092
0.84 0 0.0539196 0 0 2.38748e-092
0.86 0 0.0526132 0 0 2.71894e-097
0.88 0 0.0526132 0 0 2.71894e-097
0.9 0 0.0508317 0 0 1.40951e-100
0.92 0 0.049422 0 0 7.08075e-103
0.94 0 0.0479283 0 0 1.86641e-106
0.96 0 0.0479283 0 0 1.86641e-106
0.98 0 0.0457744 0 0 4.11413e-108
1 0 0.0438362 0 0 1.2359e-111
1.02 0 0.043343 0 0 8.19331e-112
1.04 0 0.0416528 0 0 4.0988e-115
1.06 0 0.0408836 0 0 6.55496e-119
1.08 0 0.0408836 0 0 6.55496e-119
1.1 0 0.0396028 0 0 7.94509e-122
1.12 0 0.0382391 0 0 6.60943e-125
1.14 0 0.0378602 0 0 2.96072e-123
1.16 0 0.0374632 0 0 2.5965e-123
1.18 0 0.0372424 0 0 1.14822e-128
1.2 0 0.0372 0 0 4.1802e-129
