0,1,0
0,2,9
0,3,10
1,1,1
1,2,11
1,3,12
2,1,2
2,2,13
2,3,14
3,1,3
3,2,15
3,3,16
4,1,4
4,2,17
4,3,18
5,1,5
5,2,19
5,3,20
6,1,6
6,2,21
6,3,22
7,1,7
7,2,23
7,3,24
8,1,8
8,2,25
8,3,26
9,1,10
9,2,28
9,3,11
10,1,12
10,2,29
10,3,13
11,1,14
11,2,30
11,3,15
12,1,16
12,2,31
12,3,17
13,1,18
13,2,32
13,3,19
14,1,20
14,2,33
14,3,21
15,1,22
15,2,34
15,3,23
16,1,24
16,2,35
16,3,25
17,1,26
17,2,36
17,3,27
18,1,28
18,2,37
18,3,38
19,1,29
19,2,39
19,3,40
20,1,30
20,2,41
20,3,42
21,1,31
21,2,43
21,3,44
22,1,32
22,2,45
22,3,46
23,1,33
23,2,47
23,3,48
24,1,34
24,2,49
24,3,50
25,1,35
25,2,51
25,3,52
26,1,36
26,2,53
26,3,54
27,1,38
27,2,56
27,3,39
28,1,40
28,2,57
28,3,41
29,1,42
29,2,58
29,3,43
30,1,44
30,2,59
30,3,45
31,1,46
31,2,60
31,3,47
32,1,48 
32,2,61
32,3,49
33,1,50
33,2,62
33,3,51
34,1,52
34,2,63
34,3,53
35,1,54
35,2,64
35,3,55
36,1,56
36,2,65
36,3,66
37,1,57
37,2,67
37,3,68
38,1,58
38,2,69
38,3,70
39,1,59
39,2,71
39,3,72
40,1,60
40,2,73
40,3,74
41,1,61
41,2,75
41,3,76
42,1,62
42,2,77
42,3,78
43,1,63
43,2,79
43,3,80
44,1,64
44,2,81
44,3,82
45,1,66
45,2,84
45,3,67
46,1,68
46,2,85
46,3,69
47,1,70
47,2,86
47,3,71
48,1,72
48,2,87
48,3,73
49,1,74
49,2,88
49,3,75
50,1,76
50,2,89
50,3,77
51,1,78
51,2,90
51,3,79
52,1,80
52,2,91
52,3,81
53,1,82
53,2,92
53,3,83
54,1,84
54,2,93
54,3,94
55,1,85
55,2,95
55,3,96
56,1,86
56,2,97
56,3,98
57,1,87
57,2,99
57,3,100
58,1,88
58,2,101
58,3,102
59,1,89
59,2,103
59,3,104
60,1,90
60,2,105
60,3,106
61,1,91
61,2,107
61,3,108
62,1,92
62,2,109
62,3,110
63,1,94
63,2,112
63,3,95
64,1,96
64,2,113
64,3,97
65,1,98
65,2,114
65,3,99
66,1,100
66,2,115
66,3,101
67,1,102
67,2,116
67,3,103
68,1,104
68,2,117
68,3,105
69,1,106
69,2,118
69,3,107
70,1,108
70,2,119
70,3,109
71,1,110
71,2,120
71,3,111
72,1,112
72,2,121
72,3,122
73,1,113
73,2,123
73,3,124
74,1,114
74,2,125
74,3,126
75,1,115
75,2,127
75,3,128
76,1,116
76,2,129
76,3,130
77,1,117
77,2,131
77,3,132
78,1,118
78,2,133
78,3,134
79,1,119
79,2,135
79,3,136
80,1,120
80,2,137
80,3,138
81,1,122
81,2,140
81,3,123
82,1,124
82,2,141
82,3,125
83,1,126
83,2,142
83,3,127
84,1,128
84,2,143
84,3,129
85,1,130
85,2,144
85,3,131
86,1,132
86,2,145
86,3,133
87,1,134
87,2,146
87,3,135
88,1,136
88,2,147
88,3,137
89,1,138
89,2,148
89,3,139
90,1,140
90,2,149
90,3,150
91,1,141
91,2,151
91,3,152
92,1,142
92,2,153
92,3,154
93,1,143
93,2,155
93,3,156
94,1,144
94,2,157
94,3,158
95,1,145
95,2,159
95,3,160
96,1,146
96,2,161
96,3,162
97,1,147
97,2,163
97,3,164
98,1,148
98,2,165
98,3,166
99,1,150
99,2,168
99,3,151
100,1,152
100,2,169
100,3,153
101,1,154
101,2,170
101,3,155
102,1,156
102,2,171
102,3,157
103,1,158
103,2,172
103,3,159
104,1,160
104,2,173
104,3,161
105,1,162
105,2,174
105,3,163
106,1,164
106,2,175
106,3,165
107,1,166
107,2,176
107,3,167
108,1,168
108,2,177
108,3,178
109,1,169
109,2,179
109,3,180
110,1,170
110,2,181
110,3,182
111,1,171
111,2,183
111,3,184
112,1,172
112,2,185
112,3,186
113,1,173
113,2,187
113,3,188
114,1,174
114,2,189
114,3,190
115,1,175
115,2,191
115,3,192
116,1,176
116,2,193
116,3,194
117,1,178
117,2,196
117,3,179
118,1,180
118,2,197
118,3,181
119,1,182
119,2,198
119,3,183
120,1,184
120,2,199
120,3,185
121,1,186
121,2,200
121,3,187
122,1,188
122,2,201
122,3,189
123,1,190
123,2,202
123,3,191
124,1,192
124,2,203
124,3,193
125,1,194
125,2,204
125,3,195
126,1,196
126,2,205
126,3,206
127,1,197
127,2,207
127,3,208
128,1,198
128,2,209
128,3,210
129,1,199
129,2,211
129,3,212
130,1,200
130,2,213
130,3,214
131,1,201
131,2,215
131,3,216
132,1,202
132,2,217
132,3,218
133,1,203
133,2,219
133,3,220
134,1,204
134,2,221
134,3,222
135,1,206
135,2,224
135,3,207
136,1,208
136,2,225
136,3,209
137,1,210
137,2,226
137,3,211
138,1,212
138,2,227
138,3,213
139,1,214
139,2,228
139,3,215
140,1,216
140,2,229
140,3,217
141,1,218
141,2,230
141,3,219
142,1,220
142,2,231
142,3,221
143,1,222
143,2,232
143,3,223
144,1,224
144,2,233
144,3,234
145,1,225
145,2,235
145,3,236
146,1,226
146,2,237
146,3,238
147,1,227
147,2,239
147,3,240
148,1,228
148,2,241
148,3,242
149,1,229
149,2,243
149,3,244
150,1,230
150,2,245
150,3,246
151,1,231
151,2,247
151,3,248
152,1,232
152,2,249
152,3,250
153,1,234
153,2,252
153,3,235
154,1,236
154,2,253
154,3,237
155,1,238
155,2,254
155,3,239
156,1,240
156,2,255
156,3,241
157,1,242
157,2,256
157,3,243
158,1,244
158,2,257
158,3,245
159,1,246
159,2,258
159,3,247
160,1,248
160,2,259
160,3,249
161,1,250
161,2,260
161,3,251
