0,1,0
0,2,0
1,1,1
1,2,1
2,1,2
2,2,2
3,1,3
3,2,3
4,1,4
4,2,4
5,1,5
5,2,5
6,1,6
6,2,6
7,1,7
7,2,7
8,1,8
8,2,8
9,1,0
9,2,0
10,1,0
10,2,9
11,1,9
11,2,1
12,1,1
12,2,10
13,1,10
13,2,2
14,1,2
14,2,11
15,1,11
15,2,3
16,1,3
16,2,12
17,1,12
17,2,4
18,1,4
18,2,13
19,1,13
19,2,5
20,1,5
20,2,14
21,1,14
21,2,6
22,1,6
22,2,15
23,1,15
23,2,7
24,1,7
24,2,16
25,1,16
25,2,8
26,1,8
26,2,17
27,1,17
27,2,17
28,1,9
28,2,18
29,1,10
29,2,19
30,1,11
30,2,20
31,1,12
31,2,21
32,1,13
32,2,22
33,1,14
33,2,23
34,1,15
34,2,24
35,1,16
35,2,25
36,1,17
36,2,26
37,1,18
37,2,18
38,1,18
38,2,27
39,1,27
39,2,19
40,1,19
40,2,28
41,1,28
41,2,20
42,1,20
42,2,29
43,1,29
43,2,21
44,1,21
44,2,30
45,1,30
45,2,22
46,1,22
46,2,31
47,1,31
47,2,23
48,1,23
48,2,32
49,1,32
49,2,24
50,1,24
50,2,33
51,1,33
51,2,25
52,1,25
52,2,34
53,1,34
53,2,26
54,1,26
54,2,35
55,1,35
55,2,35
56,1,27
56,2,36
57,1,28
57,2,37
58,1,29
58,2,38
59,1,30
59,2,39
60,1,31
60,2,40
61,1,32
61,2,41
62,1,33
62,2,42
63,1,34
63,2,43
64,1,35
64,2,44
65,1,36
65,2,36
66,1,36
66,2,45
67,1,45
67,2,37
68,1,37
68,2,46
69,1,46
69,2,38
70,1,38
70,2,47
71,1,47
71,2,39
72,1,39
72,2,48
73,1,48
73,2,40
74,1,40
74,2,49
75,1,49
75,2,41
76,1,41
76,2,50
77,1,50
77,2,42
78,1,42
78,2,51
79,1,51
79,2,43
80,1,43
80,2,52
81,1,52
81,2,44
82,1,44
82,2,53
83,1,53
83,2,53
84,1,45
84,2,54
85,1,46
85,2,55
86,1,47
86,2,56
87,1,48
87,2,57
88,1,49
88,2,58
89,1,50
89,2,59
90,1,51
90,2,60
91,1,52
91,2,61
92,1,53
92,2,62
93,1,54
93,2,54
94,1,54
94,2,63
95,1,63
95,2,55
96,1,55
96,2,64
97,1,64
97,2,56
98,1,56
98,2,65
99,1,65
99,2,57
100,1,57
100,2,66
101,1,66
101,2,58
102,1,58
102,2,67
103,1,67
103,2,59
104,1,59
104,2,68
105,1,68
105,2,60
106,1,60
106,2,69
107,1,69
107,2,61
108,1,61
108,2,70
109,1,70
109,2,62
110,1,62
110,2,71
111,1,71
111,2,71
112,1,63
112,2,72
113,1,64
113,2,73
114,1,65
114,2,74
115,1,66
115,2,75
116,1,67
116,2,76
117,1,68
117,2,77
118,1,69
118,2,78
119,1,70
119,2,79
120,1,71
120,2,80
121,1,72
121,2,72
122,1,72
122,2,81
123,1,81
123,2,73
124,1,73
124,2,82
125,1,82
125,2,74
126,1,74
126,2,83
127,1,83
127,2,75
128,1,75
128,2,84
129,1,84
129,2,76
130,1,76
130,2,85
131,1,85
131,2,77
132,1,77
132,2,86
133,1,86
133,2,78
134,1,78
134,2,87
135,1,87
135,2,79
136,1,79
136,2,88
137,1,88
137,2,80
138,1,80
138,2,89
139,1,89
139,2,89
140,1,81
140,2,90
141,1,82
141,2,91
142,1,83
142,2,92
143,1,84
143,2,93
144,1,85
144,2,94
145,1,86
145,2,95
146,1,87
146,2,96
147,1,88
147,2,97
148,1,89
148,2,98
