0,1,1
0,2,0
1,1,2
1,2,1
2,1,3
2,2,2
3,1,4
3,2,3
4,1,5
4,2,4
5,1,6
5,2,5
6,1,7
6,2,6
7,1,8
7,2,7
8,1,9
8,2,8
28,1,36
28,2,35
29,1,37
29,2,36
30,1,38
30,2,37
31,1,39
31,2,38
32,1,40
32,2,39
33,1,41
33,2,40
34,1,42
34,2,41
35,1,43
35,2,42
36,1,10
36,2,43
56,1,44
56,2,34
57,1,45
57,2,44
58,1,46
58,2,45
59,1,47
59,2,46
60,1,48
60,2,47
61,1,49
61,2,48
62,1,50
62,2,49
63,1,51
63,2,50
64,1,11
64,2,51
84,1,52
84,2,33
85,1,53
85,2,52
86,1,54
86,2,53
87,1,55
87,2,54
88,1,56
88,2,55
89,1,57
89,2,56
90,1,58
90,2,57
91,1,59
91,2,58
92,1,12
92,2,59
112,1,60
112,2,32
113,1,61
113,2,60
114,1,62
114,2,61
115,1,63
115,2,62
116,1,64
116,2,63
117,1,65
117,2,64
118,1,66
118,2,65
119,1,67
119,2,66
120,1,13
120,2,67
140,1,68
140,2,31
141,1,69
141,2,68
142,1,70
142,2,69
143,1,71
143,2,70
144,1,72
144,2,71
145,1,73
145,2,72
146,1,74
146,2,73
147,1,75
147,2,74
148,1,14
148,2,75
168,1,76
168,2,30
169,1,77
169,2,76
170,1,78
170,2,77
171,1,79
171,2,78
172,1,80
172,2,79
173,1,81
173,2,80
174,1,82
174,2,81
175,1,83
175,2,82
176,1,15
176,2,83
196,1,84
196,2,29
197,1,85
197,2,84
198,1,86
198,2,85
199,1,87
199,2,86
200,1,88
200,2,87
201,1,89
201,2,88
202,1,90
202,2,89
203,1,91
203,2,90
204,1,16
204,2,91
224,1,92
224,2,28
225,1,93
225,2,92
226,1,94
226,2,93
227,1,95
227,2,94
228,1,96
228,2,95
229,1,97
229,2,96
230,1,98
230,2,97
231,1,99
231,2,98
232,1,17
232,2,99
252,1,26
252,2,27
253,1,25
253,2,26
254,1,24
254,2,25
255,1,23
255,2,24
256,1,22
256,2,23
257,1,21
257,2,22
258,1,20
258,2,21
259,1,20
259,2,19
260,1,18
260,2,19
9,1,0
9,2,35
37,1,35
37,2,34
65,1,34
65,2,33
93,1,33
93,2,32
121,1,32
121,2,31
149,1,31
149,2,30
177,1,30
177,2,29
205,1,29
205,2,28
233,1,28
233,2,27
11,1,1
11,2,36
39,1,36
39,2,44
67,1,44
67,2,52
95,1,52
95,2,60
123,1,60
123,2,68
151,1,68
151,2,76
179,1,76
179,2,84
207,1,84
207,2,92
235,1,92
235,2,26
13,1,2
13,2,37
41,1,37
41,2,45
69,1,45
69,2,53
97,1,53
97,2,61
125,1,61
125,2,69
153,1,69
153,2,77
181,1,77
181,2,85
209,1,85
209,2,93
237,1,93
237,2,25
15,1,3
15,2,38
43,1,38
43,2,46
71,1,46
71,2,54
99,1,54
99,2,62
127,1,62
127,2,70
155,1,70
155,2,78
183,1,78
183,2,86
211,1,86
211,2,94
239,1,94
239,2,24
17,1,4
17,2,39
45,1,39
45,2,47
73,1,47
73,2,55
101,1,55
101,2,63
129,1,63
129,2,71
157,1,71
157,2,79
185,1,79
185,2,87
213,1,87
213,2,95
241,1,95
241,2,23
19,1,5
19,2,40
47,1,40
47,2,48
75,1,48
75,2,56
103,1,56
103,2,64
131,1,64
131,2,72
159,1,72
159,2,80
187,1,80
187,2,88
215,1,88
215,2,96
243,1,96
243,2,22
21,1,6
21,2,41
49,1,41
49,2,49
77,1,49
77,2,57
105,1,57
105,2,65
133,1,65
133,2,73
161,1,73
161,2,81
189,1,81
189,2,89
217,1,89
217,2,97
245,1,97
245,2,21
23,1,7
23,2,42
51,1,42
51,2,50
79,1,50
79,2,58
107,1,58
107,2,66
135,1,66
135,2,74
163,1,74
163,2,82
191,1,82
191,2,90
219,1,90
219,2,98
247,1,98
247,2,20
25,1,8
25,2,43
53,1,43
53,2,51
81,1,51
81,2,59
109,1,59
109,2,67
137,1,67
137,2,75
165,1,75
165,2,83
193,1,83
193,2,91
221,1,91
221,2,99
249,1,99
249,2,19
27,1,9
27,2,10
55,1,10
55,2,11
83,1,11
83,2,12
111,1,12
111,2,13
139,1,13
139,2,14
167,1,14
167,2,15
195,1,15
195,2,16
223,1,16
223,2,17
251,1,17
251,2,18
10,1,35
10,2,1
12,1,36
12,2,2
14,1,37
14,2,3
16,1,38
16,2,4
18,1,39
18,2,5
20,1,40
20,2,6
22,1,41
22,2,7
24,1,42
24,2,8
26,1,43
26,2,9
38,1,34
38,2,36
40,1,44
40,2,37
42,1,45
42,2,38
44,1,46
44,2,39
46,1,47
46,2,40
48,1,48
48,2,41
50,1,49
50,2,42
52,1,50
52,2,43
54,1,51
54,2,10
66,1,33
66,2,44
68,1,52
68,2,45
70,1,53
70,2,46
72,1,54
72,2,47
74,1,55
74,2,48
76,1,56
76,2,49
78,1,57
78,2,50
80,1,58
80,2,51
82,1,59
82,2,11
94,1,32
94,2,52
96,1,60
96,2,53
98,1,61
98,2,54
100,1,62
100,2,55
102,1,63
102,2,56
104,1,64
104,2,57
106,1,65
106,2,58
108,1,66
108,2,59
110,1,67
110,2,12
122,1,31
122,2,60
124,1,68
124,2,61
126,1,69
126,2,62
128,1,70
128,2,63
130,1,71
130,2,64
132,1,72
132,2,65
134,1,73
134,2,66
136,1,74
136,2,67
138,1,75
138,2,13
150,1,30
150,2,68
152,1,76
152,2,69
154,1,77
154,2,70
156,1,78
156,2,71
158,1,79
158,2,72
160,1,80
160,2,73
162,1,81
162,2,74
164,1,82
164,2,75
166,1,83
166,2,14
178,1,29
178,2,76
180,1,84
180,2,77
182,1,85
182,2,78
184,1,86
184,2,79
186,1,87
186,2,80
188,1,88
188,2,81
190,1,89
190,2,82
192,1,90
192,2,83
194,1,91
194,2,15
206,1,28
206,2,84
208,1,92
208,2,85
210,1,93
210,2,86
212,1,94
212,2,87
214,1,95
214,2,88
216,1,96
216,2,89
218,1,97
218,2,90
220,1,98
220,2,91
222,1,99
222,2,16
234,1,27
234,2,92
236,1,26
236,2,93
238,1,25
238,2,94
240,1,24
240,2,95
242,1,23
242,2,96
244,1,22
244,2,97
246,1,21
246,2,98
248,1,20
248,2,99
250,1,19
250,2,17
