VARIABLES= "X", "Y", "Z","P"
5.49144 3.53732 2.09911 0.0132778
4.76157 4.91375 2.4458 0.0288589
4.06345 5.34036 1.845 0.0342545
5.23907 4.76148 1.78463 0.0169197
4.85579 5.19178 1.73525 0.0171916
5.60496 3.89715 1.1329 0.0090687
5.65964 4.22714 1.04991 0.00750496
5.8041 4.05356 1.55957 0.00963767
5.37398 4.57203 1.61224 0.0118461
5.55498 4.48052 1.38269 0.00966314
5.63125 4.38184 1.72312 0.012697
5.23516 3.78919 1.29827 0.0130041
5.32522 3.62542 2.33769 0.0168276
5.34266 4.35698 2.79603 0.0167251
5.04245 3.88175 3.07479 0.0206321
5.57613 3.99465 3.27113 0.0116734
5.09552 4.61465 3.5061 0.0190581
5.64609 3.19248 3.22091 0.00931051
5.56573 3.06859 3.03324 0.0103646
5.36562 3.12767 3.64047 0.0115703
5.37247 3.30418 3.56281 0.0119843
5.46345 3.31949 3.30182 0.0111163
5.6185 3.45907 3.30844 0.0107935
5.15924 2.87313 3.13471 0.0113007
5.23946 3.23352 3.18144 0.0131998
5.16892 4.41898 3.05704 0.0210945
3.81898 3.94766 3.16723 0.0797493
4.58537 4.72035 3.30481 0.0325422
4.45482 4.09943 2.89276 0.0435478
4.42761 5.07073 2.92514 0.0321472
4.6958 2.07708 3.3414 0.00566187
3.91391 5.03042 2.14785 0.0437476
3.56133 4.86463 2.64601 0.0666967
5.38069 4.13298 2.65663 0.0165013
4.71197 4.89388 2.69716 0.0311989
3.63036 4.31474 2.67477 0.0869817
6.38014 4.55434 3.29713 0.00457759
4.01704 5.16748 2.29354 0.0368018
4.31561 4.65649 2.29418 0.0410126
3.67471 3.83013 1.72639 0.0831247
4.90884 2.06335 1.22373 0.00323982
3.43297 4.01603 1.67687 0.0903525
3.41303 4.13156 1.84838 0.0920121
3.88821 4.32249 1.59834 0.0602248
3.98336 5.82712 3.13037 0.0263431
3.89014 5.7749 3.27349 0.0304055
3.55525 6.004 3.66259 0.0386593
2.61185 2.06446 0.452464 3.22891e-007
3.31895 5.80192 3.65211 0.0569519
3.74764 5.45416 3.39518 0.0421147
3.81456 5.5792 3.50154 0.0400041
3.71186 5.61767 3.2654 0.0356562
3.35601 5.5917 3.51953 0.0636696
4.77882 4.51254 3.04302 0.0303484
4.79994 4.02642 2.75822 0.0317034
4.0249 4.05748 2.30151 0.0626829
4.35199 4.30036 2.40997 0.0447812
4.68152 5.08014 2.82744 0.0289592
6.13383 5.87089 4.53897 0.00200209
5.24749 4.23248 2.47981 0.0178524
4.60369 6.92061 3.63384 9.98019e-008
5.2071 4.63597 2.73788 0.0194594
3.91193 5.13583 2.68707 0.0406216
4.7437 5.26478 3.16161 0.0214247
5.02899 5.08693 3.28401 0.0191351
5.29076 4.82519 2.64287 0.0170476
4.98805 4.16403 3.27067 0.0251503
5.06289 5.44904 2.74931 0.015933
5.06264 5.3954 2.90624 0.0163763
5.63137 5.77046 4.10145 0.00492376
5.44701 4.6896 3.15426 0.0138827
4.64657 4.34776 2.71278 0.0407219
4.20754 2.41043 0.785332 0.0136179
4.67899 3.1797 1.73323 0.0259113
4.41783 5.03873 3.15257 0.0330589
4.68852 4.24761 1.77651 0.0287715
4.19377 4.6441 1.78847 0.0393166
2.07776 5.43163 2.6915 0.0830115
5.2237 4.2196 1.93791 0.0182565
4.59643 3.79143 1.69563 0.0375556
4.28022 4.01695 1.86091 0.0509599
4.52723 3.84579 2.31137 0.0384345
5.09117 5.15748 2.40951 0.017062
4.86179 5.24575 2.33048 0.0196414
6.35545 6.77372 4.24599 0.000376673
5.68848 5.19681 1.88525 0.00860118
5.55096 4.98727 2.22218 0.0123252
3.82161 3.99123 2.41597 0.0763816
5.50227 5.47616 2.43151 0.0106714
5.02322 4.12149 1.94358 0.0205491
5.25895 4.66644 1.2021 0.0112456
5.08081 5.40153 2.18207 0.0156031
5.67081 4.9536 1.61902 0.00877303
4.90298 6.4955 2.87743 0.00603839
4.97886 4.82048 1.70271 0.0191419
5.57312 5.73869 2.93376 0.00789262
5.22168 5.86903 2.8229 0.0105682
5.03173 5.65699 2.74683 0.0141196
5.53663 5.457 3.119 0.0108782
5.60042 6.92049 4.93769 3.87275e-009
5.29538 5.69415 3.21699 0.0114155
5.33923 5.38245 3.12064 0.0121205
5.10054 5.76753 2.91935 0.0118757
4.56317 5.57596 2.82611 0.0205533
4.66527 5.80021 2.87871 0.0155604
5.09321 6.44603 2.57565 0.00558904
5.13407 5.5419 3.58763 0.013107
4.94871 5.46621 3.39389 0.0162087
5.37565 5.18552 3.48595 0.0122095
6.81948 5.03732 3.32056 0.00173032
5.69957 5.52599 3.4549 0.0070991
5.23478 5.74709 3.5977 0.0106861
5.63056 5.75106 3.48755 0.00721431
3.04039 4.70879 3.00737 0.121137
2.96323 4.97051 3.34753 0.111111
3.16233 4.77552 3.17936 0.107412
3.01027 4.61203 3.51801 0.11666
3.01465 4.69516 3.65796 0.117065
3.67128 4.31844 3.6053 0.0771228
3.32211 4.05237 3.31385 0.107537
3.27928 4.08737 3.51439 0.115044
3.74471 4.93902 3.4166 0.0566615
4.64003 6.60831 2.51452 0.00742088
3.66122 4.4961 3.70331 0.0758699
4.25145 5.85948 4.49036 0.0141959
3.53417 4.64662 3.60954 0.0757665
5.971 4.6155 3.17608 0.00780447
5.60778 4.62681 2.70975 0.011777
5.9273 4.78772 2.77413 0.00836699
5.93567 4.46877 2.56754 0.00921319
6.03636 4.67522 2.59643 0.00817947
3.73014 5.10262 2.2904 0.0528464
4.69137 4.67137 1.53706 0.0232024
4.98787 3.98436 1.73558 0.0218704
6.46797 2.08519 0.769999 0.000383576
6.92722 5.16182 4.00843 0.000878102
5.11438 3.58741 1.69128 0.0187487
4.52259 3.73704 1.50105 0.0351796
4.46427 3.79179 1.87297 0.0380031
3.84166 3.39966 3.95319 0.0505377
4.1705 3.61895 3.58101 0.0467189
4.84336 6.59478 3.80101 0.00419125
3.63578 3.6521 3.42301 0.0892005
3.59816 3.42689 3.3568 0.0869298
3.77373 3.27486 3.19981 0.0682902
5.03126 3.05351 3.45746 0.0146267
5.43401 3.41003 3.74755 0.0111131
5.40324 3.33427 4.12295 0.0090057
5.31131 3.24505 4.16118 0.00863817
5.31901 2.89916 3.97676 0.00920221
5.03812 3.23002 3.3798 0.0147574
4.2891 4.79657 2.92781 0.0440105
5.54454 4.77688 2.33854 0.012749
5.68116 4.64279 2.22964 0.0104108
5.7357 4.47861 2.36672 0.00945714
5.26809 3.9579 2.69679 0.0176319
5.57873 4.07987 2.58044 0.0131632
5.13489 4.0574 2.51997 0.0207458
3.70543 3.65609 2.63659 0.0891022
4.50298 6.79767 4.40223 0.00158594
3.84663 3.44043 2.62125 0.0767566
6.91472 4.08322 3.23236 0.00124698
5.04145 3.25518 1.30152 0.0127468
4.46248 3.31656 1.36822 0.029651
4.65254 2.84617 1.50986 0.0190942
2.39242 5.18079 2.07726 0.0687178
4.70648 3.1814 1.11481 0.0184158
4.92626 3.16494 1.13738 0.0120334
4.51157 3.03396 1.61986 0.0277381
5.58664 4.66263 3.3387 0.0121038
5.51766 4.49054 3.97933 0.0113484
4.71833 4.6022 3.26295 0.030194
5.00887 4.32307 3.74929 0.0190061
6.93023 2.81791 2.72919 9.52998e-008
