VARIABLES= "X", "Y", "Z","T"
1.63962 1.27605 0.368874 4.98221
1.6551 1.18971 0.351428 3.60827
1.71275 1.15797 0.288278 2.2349
1.43007 1.28712 0.3237 10.1614
1.51605 1.42231 0.402351 8.97014
1.50384 1.28957 0.339227 7.42678
1.39265 1.32436 0.368655 11.9015
1.46861 1.42198 0.37442 9.43697
1.37838 1.3695 0.420219 12.8927
1.49023 1.54187 0.43692 10.1003
1.37488 1.46881 0.33772 13.6132
1.02378 1.55411 0.954987 171.181
1.48003 1.44647 0.337136 9.34996
1.4298 1.55083 0.391519 11.3326
1.9869 1.46516 0.597025 0.386216
1.50642 1.46075 0.0909633 4.85991
1.59956 1.32518 0.43266 6.38995
1.56724 1.46332 0.425983 7.8347
1.56857 1.61919 0.487647 7.99399
1.53433 1.37557 0.392216 7.92664
1.51871 1.51343 0.638955 9.55673
1.44198 1.62188 0.62933 11.6562
1.45796 1.61254 0.360136 10.9317
1.45506 1.29514 0.661595 10.7137
1.45269 1.38381 0.642869 10.9828
1.37906 1.38727 0.735026 15.1561
1.36071 1.27058 0.674869 15.9686
1.5827 1.46468 0.0868562 3.45779
1.596 1.50468 0.0876936 3.35363
1.55693 1.76591 0.758444 6.38178
1.62961 1.80867 0.744849 3.98068
1.66451 1.81556 0.747748 3.54588
1.59286 1.75343 0.699372 6.33209
1.57301 1.79283 0.687189 6.40372
1.53699 1.81192 0.697171 6.96742
1.6119 1.73466 0.760389 4.96167
1.20895 1.71706 0.369268 22.3483
1.20282 1.66431 0.316656 21.8501
1.27772 1.74556 0.356076 19.036
1.1876 1.7171 0.278604 26.962
1.08645 1.08151 0.400156 66.5094
1.74133 1.18327 0.0795926 1.11782
1.1913 1.75833 0.331976 26.9204
1.23423 1.74715 0.25644 24.9868
1.37081 1.37722 0.61919 14.318
1.42491 1.35981 0.754788 12.5345
1.46908 1.37179 0.742565 11.0432
1.3827 1.28074 0.635569 13.6829
1.48051 1.24252 0.628042 8.90536
1.38888 1.25299 0.600606 13.0783
1.51969 1.26344 0.609799 8.11193
1.35695 1.43285 0.463051 13.183
1.57298 1.61957 0.301097 6.88688
1.52727 1.63022 0.356085 8.9692
1.63309 1.64118 0.365269 5.8495
1.88225 1.23452 0.283543 1.3636
1.53994 1.74304 0.47299 8.94984
1.56617 1.64365 0.426081 7.78598
1.47002 1.61035 0.312806 10.8162
1.58142 1.54698 0.350528 7.04598
1.54613 1.52141 0.299748 7.29664
1.52372 1.64995 0.309633 8.57118
1.50361 1.72228 0.278095 9.46319
1.47294 1.70888 0.251981 10.162
1.4044 1.6199 0.363013 12.8157
1.35301 1.69404 0.347816 15.4445
1.38081 1.6972 0.295647 14.8347
1.38701 1.65489 0.271789 14.0615
1.39038 1.62372 0.306585 13.4743
1.70956 1.11787 0.0329716 0.512637
1.36029 1.67283 0.38914 14.5248
1.24199 1.36542 0.272813 18.6646
1.7806 1.17636 0.0308763 0.506743
1.29635 1.38138 0.816663 20.496
1.16515 1.3274 0.788027 30.6051
1.19379 1.27 0.751561 28.3559
1.18509 1.26959 0.708574 28.0641
1.78545 1.12741 0.0396974 0.481213
1.26378 1.35546 0.733519 20.5956
1.25878 1.3898 0.756065 20.9784
1.72686 1.91711 0.906512 0.892295
1.21159 1.38825 0.818847 28.7368
1.69494 1.62645 0.297454 4.24531
1.70759 1.61126 0.352806 4.29116
1.61229 1.71824 0.331733 5.63297
1.64219 1.74388 0.335731 5.05669
1.73812 1.68869 0.331155 3.34247
1.73785 1.949 0.858044 0.765349
1.45074 1.70489 0.420779 11.8313
1.43049 1.69285 0.5793 12.3729
1.58295 1.71119 0.464361 7.18948
1.55993 1.72158 0.542138 8.14818
1.52424 1.69741 0.306176 8.58777
1.60944 1.64127 0.275402 5.73503
1.56269 1.71629 0.280548 7.04636
1.71611 1.69521 0.412628 4.00368
1.62451 1.51897 0.380185 6.15514
1.52849 1.59412 0.263895 7.63467
1.57378 1.58689 0.27864 6.8466
1.32837 1.40889 0.390194 13.9786
1.78765 1.90174 0.865279 0.924705
1.31571 1.32393 0.482992 15.254
1.49585 1.04762 0.103811 1.68261
1.77289 1.96118 0.982364 0.259482
1.46885 1.29481 0.529897 9.38518
1.41958 1.33086 0.329609 10.5806
1.3611 1.2584 0.392083 13.4182
1.25088 1.4101 0.38597 15.8766
1.27885 1.43346 0.356175 15.6907
