VARIABLES= "X", "Y", "Z","T"
1.67803 1.84813 0 0.924598
1.59219 1.81505 0 1.2054
1.83874 1.16204 0 0.394072
1.83405 1.07192 0 0.251015
1.75914 1.10681 0 0.378447
1.59411 1.08129 0 0.764481
1.69153 1.06757 0 0.31885
1.49255 1.13413 0 1.60324
1.57981 1.17526 0 1.19305
1.74134 1.19705 0 0.535635
1.86328 1.33308 0 0.459424
1.92252 1.40888 0 0.293181
1.93474 1.30913 0 0.252786
1.24682 1.19397 0 10.0069
1.19954 1.09445 0 19.8659
1.15621 1.19633 0 31.1439
1.39215 1.25681 0 3.40677
1.45116 1.32764 0 2.93866
1.49274 1.23383 0 1.70976
1.74375 1.43921 0 0.770318
1.79001 1.51386 0 0.627091
1.82923 1.42533 0 0.527536
1.74199 1.7792 0 0.582775
1.79357 1.89689 0 0.353369
1.84185 1.7973 0 0.369731
1.12196 1.49115 0 41.0152
1.16492 1.57498 0 28.5609
1.62447 1.30433 0 1.12081
1.68283 1.36933 0 0.812804
1.7138 1.28381 0 0.708369
1.92855 1.16568 0 0.16977
1.51348 1.82591 0 1.96699
1.44679 1.75332 0 3.19911
1.42379 1.83594 0 3.41835
1.35838 1.3453 0 4.82367
1.07168 1.83415 0 1
1.48544 1.88858 0 1.78383
1.53535 1.74367 0 1.82761
1.4647 1.66903 0 2.97609
1.21128 1.28737 0 13.4853
1.71018 1.69255 0 0.78949
1.64011 1.63432 0 1.20638
1.49472 1.05861 0 1.28704
1.59829 1.38639 0 1.441
1.57859 1.47359 0 1.9099
1.66049 1.4552 0 1.00923
1.55467 1.65596 0 1.83307
1.63659 1.73908 0 1.15604
1.41769 1.17935 0 2.49375
1.38507 1.09184 0 2.76643
1.71517 1.51076 0 0.944386
1.2434 1.55294 0 12.7031
1.42468 1.41784 0 3.92118
1.47766 1.57851 0 3.04543
1.80332 1.26259 0 0.422937
1.33478 1.18575 0 4.306
1.3005 1.27279 0 5.1593
1.19722 1.73664 0 23.0385
1.89431 1.2435 0 0.246772
1.77323 1.35207 0 0.610509
1.57625 1.24799 0 1.29927
1.65094 1.22429 0 0.936376
